107.93,46.553,163.62,202.57
108.24,46.553,164.88,202.57
108.55,46.553,164.88,202.57
108.87,46.553,164.88,202.57
108.87,46.553,164.88,202.57
108.87,45.924,165.19,202.57
108.55,45.924,165.19,202.57
108.24,45.924,165.19,202.57
108.24,45.924,165.19,202.57
108.24,45.924,165.19,202.57
107.61,45.924,163.62,202.57
107.61,45.924,163.62,202.57
106.98,45.924,163.3,202.57
106.98,45.924,163.3,202.57
106.98,45.924,163.3,202.57
106.98,45.924,164.56,201.63
108.24,45.609,164.56,201.63
109.5,45.609,165.19,201.63
109.81,45.609,166.45,201.63
110.44,45.609,167.39,201.63
111.07,44.98,167.71,201.63
112.02,44.351,168.65,201.63
112.33,44.037,168.97,201.63
112.96,43.722,170.54,200.68
113.59,42.464,170.86,200.37
113.59,41.206,171.8,199.11
113.59,39.633,171.8,198.17
113.59,39.318,171.8,197.22
112.33,39.004,170.23,197.22
110.76,39.004,168.34,197.22
108.24,39.004,166.45,197.85
107.3,39.004,164.88,197.85
105.72,38.689,164.25,198.48
104.15,38.689,163.3,198.48
102.26,38.689,162.36,199.74
101.32,38.689,161.42,200.05
98.8,38.689,160.16,201
97.227,39.004,158.58,201
97.227,39.004,157.33,201
97.227,39.004,157.33,201
97.227,39.004,157.33,201
98.486,39.004,158.27,201
98.486,38.689,158.27,201
99.744,38.689,159.21,201
99.744,38.689,159.53,201
100.06,38.689,160.79,201
101,39.004,160.79,202.57
102.26,39.318,162.05,203.2
103.21,39.948,162.67,204.46
104.15,39.948,162.67,204.46
105.72,39.948,163.62,204.46
106.98,39.948,164.88,203.51
108.24,39.318,165.82,201.94
110.13,38.689,166.76,200.68
111.39,38.06,167.39,200.05
112.65,37.117,168.34,197.85
112.96,37.117,169.6,195.65
112.96,36.487,170.23,192.5
112.96,36.487,170.23,190.3
113.59,35.544,170.23,191.56
114.22,35.229,170.23,191.56
114.85,35.229,170.23,193.13
115.48,37.117,170.54,194.08
115.79,37.746,170.54,195.02
116.42,37.746,171.48,195.02
117.05,38.689,171.8,195.65
117.36,38.689,172.43,195.65
118.62,38.689,172.74,195.65
119.57,38.689,173.69,195.33
120.51,37.431,174.63,192.82
121.14,36.487,175.89,191.56
121.14,35.229,176.52,189.99
121.14,34.6,177.78,188.1
121.14,34.6,177.78,183.38
120.51,32.713,176.2,180.24
118.31,32.398,174.32,180.55
116.11,32.398,172.43,181.49
113.9,32.398,168.97,181.49
113.27,32.713,168.02,182.75
111.39,34.6,165.51,184.33
109.18,37.431,162.99,187.16
108.55,38.375,162.36,187.79
107.61,38.375,161.1,187.47
107.3,38.375,160.16,186.84
106.98,38.375,158.58,186.84
107.3,38.375,158.58,186.84
107.3,37.117,158.58,185.58
106.35,37.117,157.33,181.81
106.35,35.858,157.33,177.4
106.35,34.6,156.38,174.26
105.72,34.286,155.75,174.26
105.72,33.342,155.12,174.26
104.15,33.342,155.12,176.46
103.52,34.286,153.55,177.4
102.58,34.6,151.98,178.03
102.26,34.6,151.35,178.03
101,34.6,150.72,178.98
102.26,36.487,151.66,179.61
104.15,39.004,153.23,180.55
105.72,39.948,155.12,182.12
108.24,40.891,157.64,182.12
110.13,41.52,160.47,182.12
111.39,40.891,162.36,177.4
112.33,39.318,163.3,174.57
112.96,38.689,164.25,175.52
112.96,38.689,163.3,175.52
112.65,39.004,163.3,176.46
112.65,39.318,162.67,177.72
112.65,39.948,161.73,178.66
112.65,41.206,161.42,178.98
112.65,42.464,161.42,180.55
112.96,43.408,161.42,181.81
112.96,44.037,161.1,181.81
114.22,44.037,161.73,181.81
114.85,44.037,162.36,182.12
115.48,44.037,162.36,181.81
115.48,43.722,162.36,179.61
115.79,43.722,162.36,176.78
116.11,43.093,162.67,174.26
116.42,43.093,162.67,175.2
116.74,43.093,162.67,176.46
116.74,43.093,162.99,177.4
117.68,43.408,162.99,177.4
117.68,43.408,164.25,178.35
118.94,44.037,164.88,178.66
120.51,44.037,166.45,178.66
121.46,44.666,166.45,179.29
121.14,45.609,166.45,178.98
119.88,45.609,166.45,178.98
